x,y
0.00000,0.00000
0.00844,0.01804
0.01796,0.02557
0.02768,0.03132
0.03750,0.03613
0.04740,0.04030
0.05735,0.04400
0.06734,0.04733
0.07737,0.05037
0.08743,0.05314
0.09751,0.05569
0.10761,0.05804
0.11773,0.06021
0.12787,0.06222
0.13802,0.06407
0.14819,0.06578
0.15837,0.06737
0.16856,0.06882
0.17876,0.07016
0.18896,0.07140
0.19918,0.07252
0.20940,0.07355
0.21963,0.07447
0.22986,0.07531
0.24009,0.07606
0.25033,0.07672
0.26058,0.07729
0.27082,0.07779
0.28107,0.07821
0.29132,0.07855
0.30158,0.07882
0.31183,0.07902
0.32208,0.07915
0.33234,0.07921
0.34259,0.07921
0.35285,0.07914
0.36310,0.07901
0.37335,0.07881
0.38360,0.07856
0.39385,0.07825
0.40407,0.07788
0.41423,0.07746
0.42440,0.07701
0.43456,0.07651
0.44472,0.07598
0.45488,0.07541
0.46504,0.07480
0.47520,0.07415
0.48536,0.07347
0.49551,0.07275
0.50566,0.07200
0.51582,0.07122
0.52597,0.07040
0.53611,0.06955
0.54626,0.06867
0.55640,0.06776
0.56655,0.06682
0.57669,0.06585
0.58682,0.06485
0.59696,0.06382
0.60709,0.06276
0.61722,0.06168
0.62735,0.06056
0.63748,0.05942
0.64760,0.05825
0.65773,0.05706
0.66785,0.05584
0.67796,0.05459
0.68808,0.05331
0.69819,0.05201
0.70830,0.05069
0.71840,0.04934
0.72851,0.04796
0.73861,0.04656
0.74870,0.04513
0.75880,0.04368
0.76889,0.04221
0.77898,0.04071
0.78907,0.03918
0.79915,0.03763
0.80923,0.03605
0.81930,0.03445
0.82938,0.03283
0.83945,0.03118
0.84952,0.02950
0.85958,0.02780
0.86964,0.02608
0.87970,0.02433
0.88975,0.02255
0.89980,0.02075
0.90984,0.01892
0.91989,0.01706
0.92993,0.01518
0.93996,0.01328
0.94999,0.01134
0.96002,0.00938
0.97004,0.00739
0.98006,0.00538
0.99007,0.00333
1.00008,0.00126
0.99992,-0.00126
0.98972,-0.00200
0.97954,-0.00273
0.96935,-0.00345
0.95917,-0.00418
0.94900,-0.00489
0.93883,-0.00560
0.92866,-0.00631
0.91850,-0.00702
0.90834,-0.00772
0.89818,-0.00841
0.88803,-0.00911
0.87788,-0.00980
0.86773,-0.01049
0.85759,-0.01117
0.84745,-0.01185
0.83732,-0.01253
0.82719,-0.01321
0.81706,-0.01388
0.80693,-0.01456
0.79681,-0.01523
0.78669,-0.01590
0.77658,-0.01656
0.76646,-0.01723
0.75635,-0.01789
0.74625,-0.01855
0.73614,-0.01921
0.72604,-0.01986
0.71594,-0.02052
0.70584,-0.02117
0.69575,-0.02181
0.68566,-0.02246
0.67557,-0.02310
0.66549,-0.02374
0.65541,-0.02437
0.64532,-0.02500
0.63525,-0.02563
0.62517,-0.02625
0.61510,-0.02687
0.60503,-0.02748
0.59496,-0.02809
0.58489,-0.02869
0.57483,-0.02928
0.56477,-0.02987
0.55471,-0.03045
0.54465,-0.03102
0.53459,-0.03159
0.52454,-0.03215
0.51449,-0.03269
0.50444,-0.03323
0.49439,-0.03375
0.48434,-0.03427
0.47430,-0.03477
0.46425,-0.03526
0.45421,-0.03574
0.44417,-0.03620
0.43413,-0.03664
0.42409,-0.03707
0.41405,-0.03748
0.40401,-0.03788
0.39403,-0.03825
0.38408,-0.03862
0.37412,-0.03898
0.36417,-0.03934
0.35423,-0.03968
0.34428,-0.04001
0.33433,-0.04032
0.32438,-0.04062
0.31443,-0.04091
0.30448,-0.04117
0.29453,-0.04142
0.28458,-0.04164
0.27463,-0.04184
0.26467,-0.04201
0.25472,-0.04215
0.24475,-0.04226
0.23479,-0.04234
0.22482,-0.04237
0.21484,-0.04237
0.20486,-0.04232
0.19487,-0.04222
0.18488,-0.04207
0.17488,-0.04185
0.16486,-0.04157
0.15484,-0.04122
0.14480,-0.04079
0.13476,-0.04026
0.12469,-0.03964
0.11461,-0.03891
0.10451,-0.03804
0.09439,-0.03703
0.08425,-0.03584
0.07407,-0.03444
0.06386,-0.03280
0.05361,-0.03083
0.04331,-0.02845
0.03293,-0.02549
0.02244,-0.02163
0.01176,-0.01604
0.00000,0.00000
